anchors,edges,error,failure,flipped,flipped_count,loo_max_los_m,los_max_offset_m,los_median_offset_m,margins,meta_bias_hi,meta_bias_lo,meta_cap,meta_gap,meta_seed,meta_shadow,method,nlos_edges,nlos_median_offset_m,objective,oracle_flips,oracle_objective,orient_flip,positions,runtime_s,scene,status,truth
8,28,,none,,0,0.23115127123376825,0.05054985276309106,0.023662514562474514,"{""G1"": 45.34, ""G2"": 204.93, ""G3"": 88.16, ""N1"": 79.98, ""N2"": 201.13, ""N3"": 122.67, ""N4"": 45.34, ""T"": 36.23}",3.0,1.6,0,0.0,0,hetero,p_af_c16_d1,16,0.37286090179622716,68.84640105652448,0,68.84640105633048,0,"{""G1"": [0.0, 0.0], ""G2"": [1.994, 0.0], ""G3"": [3.064, -0.309], ""N1"": [-5.307, 7.967], ""N2"": [-5.331, 6.658], ""N3"": [-5.401, 5.059], ""N4"": [-4.025, 7.397], ""T"": [1.541, 2.049]}",0.8964629860129207,drawing_b1.6-3_g0_hetero_cap0_r0,ok,"{""N1"": [2.7, 8.3], ""N2"": [4.0, 8.3], ""N3"": [5.6, 8.3], ""N4"": [3.2, 7.0], ""G1"": [10.3, 3.1], ""G2"": [10.3, 1.1], ""G3"": [10.5, 0.0], ""T"": [8.2, 1.6]}"
8,28,,none,,0,0.26020052898314994,0.018085064458857967,0.01427395619209761,"{""G1"": 27.02, ""G2"": 215.11, ""G3"": 92.6, ""N1"": 80.33, ""N2"": 199.46, ""N3"": 121.33, ""N4"": 51.24, ""T"": 59.63}",3.0,1.6,0,0.0,1,hetero,p_af_c16_d1,16,0.49241197476896015,60.786403126125904,0,60.78640312626366,0,"{""G1"": [0.0, 0.0], ""G2"": [1.991, 0.0], ""G3"": [3.11, 0.175], ""N1"": [-5.847, -7.541], ""N2"": [-5.782, -6.237], ""N3"": [-5.7, -4.632], ""N4"": [-4.497, -7.098], ""T"": [1.45, -2.099]}",1.307002942005056,drawing_b1.6-3_g0_hetero_cap0_r1,ok,"{""N1"": [2.7, 8.3], ""N2"": [4.0, 8.3], ""N3"": [5.6, 8.3], ""N4"": [3.2, 7.0], ""G1"": [10.3, 3.1], ""G2"": [10.3, 1.1], ""G3"": [10.5, 0.0], ""T"": [8.2, 1.6]}"
8,28,,none,,0,0.24309741069084392,0.022454324965761184,0.015155131492141215,"{""G1"": 49.83, ""G2"": 114.75, ""G3"": 49.83, ""N1"": 75.21, ""N2"": 199.7, ""N3"": 118.83, ""N4"": 62.73, ""T"": 42.66}",3.0,1.6,0,0.0,2,hetero,p_af_c16_d1,16,0.42608685572371785,79.52606840791772,0,79.52606840997571,0,"{""G1"": [0.0, 0.0], ""G2"": [-1.971, 0.0], ""G3"": [-3.112, -0.191], ""N1"": [5.652, 7.629], ""N2"": [5.712, 6.345], ""N3"": [5.608, 4.736], ""N4"": [4.386, 7.152], ""T"": [-1.474, 2.113]}",1.5560481180000352,drawing_b1.6-3_g0_hetero_cap0_r2,ok,"{""N1"": [2.7, 8.3], ""N2"": [4.0, 8.3], ""N3"": [5.6, 8.3], ""N4"": [3.2, 7.0], ""G1"": [10.3, 3.1], ""G2"": [10.3, 1.1], ""G3"": [10.5, 0.0], ""T"": [8.2, 1.6]}"
8,28,,none,,0,0.2608357186449359,0.03825338887733402,0.024522795808342462,"{""G1"": 52.33, ""G2"": 204.49, ""G3"": 86.33, ""N1"": 75.93, ""N2"": 200.04, ""N3"": 118.27, ""N4"": 52.33, ""T"": 52.79}",3.0,1.6,0,0.0,3,hetero,p_af_c16_d1,16,0.4182845480371884,66.294004250144,0,66.29400425035826,0,"{""G1"": [0.0, 0.0], ""G2"": [-1.974, 0.0], ""G3"": [-3.09, -0.268], ""N1"": [5.643, 7.667], ""N2"": [5.522, 6.364], ""N3"": [5.53, 4.752], ""N4"": [4.31, 7.206], ""T"": [-1.481, 2.103]}",1.4645149950083578,drawing_b1.6-3_g0_hetero_cap0_r3,ok,"{""N1"": [2.7, 8.3], ""N2"": [4.0, 8.3], ""N3"": [5.6, 8.3], ""N4"": [3.2, 7.0], ""G1"": [10.3, 3.1], ""G2"": [10.3, 1.1], ""G3"": [10.5, 0.0], ""T"": [8.2, 1.6]}"
8,28,,unknown,G1 G3 T,3,2.3631246953772567,0.2284212321126294,0.13017896360526782,{},3.0,1.6,0,0.0,2,hetero,gui_intervals,16,9.485618431058246,443.69984332746867,-1,nan,1,"{""G1"": [0.0, 0.0], ""G2"": [1.719, 0.0], ""G3"": [2.773, 0.372], ""N1"": [-9.01, 2.128], ""N2"": [-7.966, 2.888], ""N3"": [-6.568, 3.719], ""N4"": [-7.757, 1.292], ""T"": [1.234, -2.154]}",3.939714036998339,drawing_b1.6-3_g0_hetero_cap0_r2,ok,"{""N1"": [2.7, 8.3], ""N2"": [4.0, 8.3], ""N3"": [5.6, 8.3], ""N4"": [3.2, 7.0], ""G1"": [10.3, 3.1], ""G2"": [10.3, 1.1], ""G3"": [10.5, 0.0], ""T"": [8.2, 1.6]}"
8,28,,none,,0,0.18857965981808453,0.027404914081122892,0.013402741824712804,"{""G1"": 46.72, ""G2"": 196.59, ""G3"": 73.32, ""N1"": 81.32, ""N2"": 124.33, ""N3"": 116.92, ""N4"": 68.49, ""T"": 57.74}",3.0,1.6,0,0.0,4,hetero,p_af_c16_d1,16,0.32000692647442036,80.33295864399234,0,80.33295863287778,0,"{""G1"": [0.0, 0.0], ""G2"": [-1.969, 0.0], ""G3"": [-3.054, -0.193], ""N1"": [5.527, 7.742], ""N2"": [5.546, 6.396], ""N3"": [5.496, 4.8], ""N4"": [4.3, 7.209], ""T"": [-1.462, 2.11]}",1.6327146260009613,drawing_b1.6-3_g0_hetero_cap0_r4,ok,"{""N1"": [2.7, 8.3], ""N2"": [4.0, 8.3], ""N3"": [5.6, 8.3], ""N4"": [3.2, 7.0], ""G1"": [10.3, 3.1], ""G2"": [10.3, 1.1], ""G3"": [10.5, 0.0], ""T"": [8.2, 1.6]}"
8,28,,unknown,G1 G3 T,3,2.225446703674853,0.2379665433482304,0.11008095298320503,{},3.0,1.6,0,0.0,1,hetero,gui_intervals,16,8.80446603560934,328.4846772791416,-1,nan,1,"{""G1"": [0.0, 0.0], ""G2"": [1.691, 0.0], ""G3"": [2.755, -0.277], ""N1"": [-9.133, -1.379], ""N2"": [-8.124, -2.221], ""N3"": [-6.82, -3.185], ""N4"": [-7.92, -0.647], ""T"": [1.209, 2.168]}",4.447320191000472,drawing_b1.6-3_g0_hetero_cap0_r1,ok,"{""N1"": [2.7, 8.3], ""N2"": [4.0, 8.3], ""N3"": [5.6, 8.3], ""N4"": [3.2, 7.0], ""G1"": [10.3, 3.1], ""G2"": [10.3, 1.1], ""G3"": [10.5, 0.0], ""T"": [8.2, 1.6]}"
8,28,,unknown,G3 T,2,1.8684755963154913,0.3400042139044026,0.24762317031111952,{},3.0,1.6,0,0.0,0,hetero,gui_intervals,16,6.091775392237909,353.9430556444412,-1,nan,0,"{""G1"": [0.0, 0.0], ""G2"": [1.685, 0.0], ""G3"": [2.545, 0.693], ""N1"": [-8.092, -4.578], ""N2"": [-7.671, -3.333], ""N3"": [-7.281, -1.779], ""N4"": [-6.801, -4.522], ""T"": [2.066, -1.979]}",5.224018470005831,drawing_b1.6-3_g0_hetero_cap0_r0,ok,"{""N1"": [2.7, 8.3], ""N2"": [4.0, 8.3], ""N3"": [5.6, 8.3], ""N4"": [3.2, 7.0], ""G1"": [10.3, 3.1], ""G2"": [10.3, 1.1], ""G3"": [10.5, 0.0], ""T"": [8.2, 1.6]}"
8,28,,unknown,G1 G3 T,3,2.3352621721428446,0.22833022563203,0.10532386331381405,{},3.0,1.6,0,0.0,3,hetero,gui_intervals,16,9.450879818021665,389.1427716319815,-1,nan,1,"{""G1"": [0.0, 0.0], ""G2"": [1.701, 0.0], ""G3"": [2.82, -0.194], ""N1"": [-8.835, -2.682], ""N2"": [-7.692, -3.322], ""N3"": [-6.28, -4.145], ""N4"": [-7.695, -1.791], ""T"": [1.102, 2.187]}",4.362406838001334,drawing_b1.6-3_g0_hetero_cap0_r3,ok,"{""N1"": [2.7, 8.3], ""N2"": [4.0, 8.3], ""N3"": [5.6, 8.3], ""N4"": [3.2, 7.0], ""G1"": [10.3, 3.1], ""G2"": [10.3, 1.1], ""G3"": [10.5, 0.0], ""T"": [8.2, 1.6]}"
8,28,,none,,0,0.2227721150758734,0.046136922976607854,0.02121621507388029,"{""G1"": 45.24, ""G2"": 112.43, ""G3"": 91.46, ""N1"": 76.94, ""N2"": 192.41, ""N3"": 115.86, ""N4"": 74.52, ""T"": 51.0}",3.0,1.6,0,0.0,5,hetero,p_af_c16_d1,16,0.33931830390703055,75.02284292128527,0,75.02284292034304,0,"{""G1"": [0.0, 0.0], ""G2"": [1.936, 0.0], ""G3"": [3.097, 0.169], ""N1"": [-5.421, -7.877], ""N2"": [-5.402, -6.564], ""N3"": [-5.415, -4.955], ""N4"": [-4.14, -7.401], ""T"": [1.483, -2.091]}",1.4294355099991662,drawing_b1.6-3_g0_hetero_cap0_r5,ok,"{""N1"": [2.7, 8.3], ""N2"": [4.0, 8.3], ""N3"": [5.6, 8.3], ""N4"": [3.2, 7.0], ""G1"": [10.3, 3.1], ""G2"": [10.3, 1.1], ""G3"": [10.5, 0.0], ""T"": [8.2, 1.6]}"
